,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
11,6.756410212311137,7.749969772108635,1.6441839156871296,2.6841521209115697,2.2014177968264894,3.352154577147355,3.0337456549810695,4.133829665272504,2.4613254057138256,0.8169626692806724,4.76601612453902,6.163901930751508,6.3067772847231485,4.9883314712215165,6.926404529234669,5.844765351154098,3.8843973312623206,2.171168599249812,2.600175032339428,4.2777131995217665
12,3.740119017246975,5.414617075371176,1.874370540890551,3.149252481078049,5.49152103252232,7.187288885623621,2.1643042180323313,3.499192612897728,4.550095891111178,3.272942931500089,6.810070606663469,8.342016804171893,9.751628164448666,8.279685444181625,4.794513222666856,3.2274656528590366,6.301205884124903,4.478097456655679,2.0573379888841474,3.2414753183715277
13,2.5835837291792587,3.8421520528304463,1.2801005185875627,2.8584649886909865,2.180112410840059,3.528171851733191,2.4246970615005243,3.287095460873672,3.2913968823943307,2.41663305107758,2.941379160697635,4.239341358112914,9.311290038956857,7.822871012111712,9.041137939909493,7.530321610265999,3.0270542768680797,1.717748643773698,5.385044833788381,6.895720674820878
14,5.24886114807669,6.414629060037207,2.208706112201026,3.2162156274075384,2.347630230068286,3.6354950765062535,5.235434250187529,5.990004786046869,2.691102628062974,1.3444689990600422,2.50430883335204,3.895844370502368,3.747285055793589,2.42791230959684,4.079897320897489,2.619261622491803,3.2111774160583075,1.8072245707638637,2.958841535884812,4.148657297814276
15,1.7528477174147292,2.776099349455677,5.97878062127774,7.770809275561529,1.6044577344559692,2.818389517679661,2.361284787494325,3.533015518151368,2.738735394673002,1.399582739068376,3.898808395864382,5.60308634977194,4.510042379643833,3.015726820351481,6.49371923013721,5.074592447380473,3.7044759469892945,2.095559616065375,5.710994106495151,6.909391904260504
16,1.3752874423219419,2.669878216508265,2.469799310658562,3.636110309065537,1.3196365321401946,2.959873533902401,2.2356364606915573,3.3780834406135405,3.3372652316979305,1.7141469822561575,4.233757554572517,5.782859093443019,5.888540989517913,4.365218672694111,6.686157845658962,5.017999176051709,2.850126381909254,1.4574307104217237,3.8517804696583413,5.061657891736712
17,1.9404240855559562,3.587644067286739,1.1491371839001856,2.376920252997683,1.8337491112437956,3.5036230072213677,1.4725828649310961,2.536470532435258,2.991664313928934,1.5751857366638795,1.3042949780104887,2.4545608908209955,3.462987505616657,2.214320370954468,4.000604839153958,2.3277142265592845,4.165299516731629,2.663777580391126,1.5548043592943785,2.841823318851767
18,4.11860735597757,5.350938579105486,1.622209751859827,2.6789737341015645,6.558064726330829,7.8013113921248785,3.192557162364974,4.725540863403875,5.8450209929282275,4.535377262148632,1.5539180603111977,3.2803385188978496,3.9205104980519865,2.3502472198748494,4.1370893296872335,2.9399751540378247,5.719216301658649,4.147422906117466,3.005803989107427,4.3296152682557265
19,-0.16119596174665118,1.0915324979381738,0.9358446289500213,2.1229411096808555,1.3768697813228847,2.871409277715013,-4.24303633126477,-2.6368800267050485,1.3978165369143831,0.3145235647354241,1.6195763944938852,2.589221472005739,6.249245555914553,4.917586876140314,4.95160756624986,3.4884374826849776,6.522542585728592,5.026427662005898,3.464644655173898,5.123172192975895
20,3.0552442456832622,4.0015354970796455,2.0323987917619877,3.6054693645870244,2.4356660623348647,4.04237688463852,0.5741980702697411,2.141262689490709,2.9565785991272424,1.334136345291055,2.7768092061940393,4.210658790764862,5.612526831265132,3.607124938806472,3.0316767210887874,1.7290822936457995,3.570647639374254,1.8481660637549158,4.082350545654197,5.784289592787577
