,"('PS pilot (base)', 'Use and biowaste')","('PS pilot (base)', 'Use and incineration')","('PS pilot (cellulose)', 'Use and biowaste')","('PS pilot (cellulose)', 'Use and incineration')","('PS pilot (mannitol)', 'Use and biowaste')","('PS pilot (mannitol)', 'Use and incineration')","('PS pilot (PLA5)', 'Use and biowaste')","('PS pilot (PLA5)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and incineration')","('PS pilot (PLA30)', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and biowaste')","('PS pilot (base) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and incineration')","('PS pilot (cellulose) nbu', 'Use and biowaste')","('PS pilot (mannitol) nbu', 'Use and incineration')","('PS pilot (mannitol) nbu', 'Use and biowaste')","('PS pilot (PLA5) nbu', 'Use and incineration')","('PS pilot (PLA5) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and biowaste')","('PS pilot (PLA30) nbu', 'Use and incineration')"
460,1.0941662053149377,1.2401046545452628,3.736852889201187,4.411800820577095,6.861674438167634,7.165255211857675,6.308492756187746,6.8694238857511065,3.80498502494692,3.187432619743311,1.8389698997848127,2.4516170736469567,5.040485113011949,3.98537212479682,4.020062950466668,3.249842187071934,1.9548826916954751,1.5352277982474292,1.55035933433289,1.8161325433047775
461,4.739470700434987,4.962973178367241,1.3372745857292436,1.6307514320365664,1.7373079328597134,2.0098160151023587,5.9628902419450585,6.65435626689766,2.8136154896893126,2.573640814774831,3.2621183130988154,4.018645932403023,2.8803616908815353,2.3159736202161727,3.2971162354160186,2.8290684551924263,7.7932138147005015,7.397182238380214,3.79118894491831,3.8861080675213366
462,5.245357340595576,5.547675628192899,1.0238846802248525,1.3872330989638086,3.32322386809123,3.9160414602223863,2.4540694453525047,2.8620228985620635,6.063219385182776,5.722713992633861,3.7051762451755206,3.9287119818556815,8.547197562315736,8.022810896199143,3.000169677732183,2.3842759130653866,2.6052479854343056,1.982228319687774,3.9945173501826483,4.290771695554327
463,4.337953300192308,4.633457735066437,2.64628512717278,3.797040189994667,2.7686059178172293,3.3286431955603466,2.3838878738498326,3.061311119817023,4.251568447086536,3.9921349497810006,4.942741333025089,5.3070834794352475,1.9541050389834687,1.5006727684298857,5.496635611502714,5.121107765471482,2.649248616288314,1.8374569559805602,1.7848089086455934,1.847824173430908
464,5.093956828787512,5.32922891407309,2.750439846789303,2.5791574193812843,3.2629973463661446,3.8567846358447477,17.037493098686745,17.445575075493412,8.119658909863983,7.630198175633095,6.286688416601243,6.711510241854214,3.8463208938841777,3.021505488750966,2.5603335610081936,2.175665942149584,6.775251730562831,6.526674256532619,1.13559779235837,1.562466792219159
465,0.8075673437860487,1.5528929346753066,4.017043300362373,4.445631766896243,1.5904570230510353,2.281359611391639,1.2263419560724635,1.8600665838714987,3.2299608185698885,2.9004841138539246,2.361361903761554,2.658793987755101,1.857824080387657,1.5484056808743931,8.511698140281563,7.9411844096967945,1.8222585789826098,1.4017990136432155,0.9706500463397597,1.4393463878681825
466,2.009174031733173,2.30691247547277,1.0040546422982404,1.3058386085618294,6.971532592186586,7.365203010824841,1.240393448017073,1.1328830446208717,8.159255407433946,7.539275873212922,1.691494448956943,2.1002079042757638,6.495061397499116,6.198506994410496,3.773229102436564,3.289578875782661,3.4657124117259417,2.982387173236624,1.0483837593888703,1.2462578303168503
467,3.2223572304895534,4.02189184803896,6.511209085429226,6.819350374078722,2.8881854827527915,3.0634493546285206,2.584445535808253,2.7436189469519747,4.719997555955081,4.35430626738547,4.005104271485964,4.527578232390506,3.4483259321826143,2.9683100841632206,14.007495264847154,13.581744057869232,10.413126255358904,9.516308863270387,2.106925775812252,2.506116710683576
468,5.006968858425863,5.356609790800075,6.856769052045178,7.344137456048104,5.9160393805201945,6.571382290155335,5.766289639515522,5.8255317903499675,2.620845465147052,2.633480973853015,2.6375612505101578,2.849764907477946,3.3345202938744616,2.954350337431677,6.160203719346081,5.4813403749591325,2.0374986774303228,1.7527640259859196,1.9615836385309318,2.3925079097584305
469,15.751757346159117,15.886069472103125,1.5744800396268583,2.2095391046875204,4.1187900647640605,4.596406624188225,13.222739520275947,14.28976733292022,3.3240024694339487,2.7562258213672415,3.766490422829118,4.206348489318465,3.9909174699536565,3.2097598780897894,5.67937990179616,5.260190486107466,2.5175372066948887,2.1237232617279296,1.8078865376191757,2.2047358620054456
